 ****** HSPICE -- P-2019.06-SP1-1 win64 (Sep 27 2019) ******
  Copyright (c) 1986 - 2026 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
7
#Number of plot points
500
#Number of Measures
12
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
i_avg,i_peak,p_avg,p_max,pdp,tp_avg,tp_cout_fall,tp_cout_rise,tp_max,tp_s7_fall,tp_s7_rise,vdd_actual,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-0.0001244548,-0.001861103,0.0001101836,0.004073443,1.201127e-13,8.668809e-10,8.827924e-10,8.94563e-10,8.94563e-10,8.556546e-10,8.345135e-10,0.9193902,-0.8742172,-1.004963,-0.7446404
-0.0001244424,-0.001859339,0.0001102248,0.004074218,1.201536e-13,8.668894e-10,8.828019e-10,8.945712e-10,8.945712e-10,8.556621e-10,8.345225e-10,0.9195468,-0.8668942,-0.9973023,-0.7376334
-0.0001242821,-0.001857007,0.000110286,0.004075764,1.203152e-13,8.676708e-10,8.836975e-10,8.952982e-10,8.952982e-10,8.56335e-10,8.353524e-10,0.9198582,-0.8596174,-0.9896943,-0.7306671
-0.0001240869,-0.001855225,0.0001103002,0.004076054,1.203202e-13,8.691072e-10,8.853289e-10,8.96637e-10,8.96637e-10,8.575713e-10,8.368914e-10,0.9199022,-0.8523858,-0.9821374,-0.7237405
-0.0001239867,-0.001854182,0.0001109013,0.004089707,1.20331e-13,8.691491e-10,8.853519e-10,8.967065e-10,8.967065e-10,8.576237e-10,8.369142e-10,0.9226572,-0.8451985,-0.9746306,-0.716853
-0.0001237853,-0.001853902,0.0001110265,0.004092588,1.203884e-13,8.700736e-10,8.863917e-10,8.975903e-10,8.975903e-10,8.584273e-10,8.37885e-10,0.9232211,-0.8380547,-0.9671728,-0.7100037
-0.0001236589,-0.001853805,0.0001115409,0.004104115,1.204513e-13,8.706478e-10,8.870446e-10,8.981455e-10,8.981455e-10,8.588906e-10,8.385106e-10,0.9255447,-0.8309533,-0.959763,-0.7031919
-0.0001232639,-0.001853693,0.0001115579,0.00410448,1.204528e-13,8.725458e-10,8.891634e-10,8.999591e-10,8.999591e-10,8.605536e-10,8.40507e-10,0.9256179,-0.8238936,-0.9524002,-0.6964168
-0.0001232096,-0.001851955,0.0001115982,0.004105516,1.204905e-13,8.728546e-10,8.895219e-10,9.002281e-10,9.002281e-10,8.608312e-10,8.408372e-10,0.925823,-0.8168748,-0.9450835,-0.6896776
-0.0001229977,-0.001851039,0.0001118321,0.004111151,1.205171e-13,8.738538e-10,8.906354e-10,9.012008e-10,9.012008e-10,8.616923e-10,8.41887e-10,0.9269535,-0.8098959,-0.9378119,-0.6829738
-0.0001229356,-0.001850027,0.0001120167,0.004115115,1.205187e-13,8.742645e-10,8.911079e-10,9.015811e-10,9.015811e-10,8.620425e-10,8.423265e-10,0.9277463,-0.8029563,-0.9305846,-0.6763046
-0.0001228114,-0.001849325,0.0001120216,0.004115226,1.205728e-13,8.746401e-10,8.915309e-10,9.019286e-10,9.019286e-10,8.623782e-10,8.427226e-10,0.9277684,-0.7960551,-0.9234006,-0.6696694
-0.0001227925,-0.00184754,0.000112129,0.004117576,1.206632e-13,8.749442e-10,8.918799e-10,9.022214e-10,9.022214e-10,8.626345e-10,8.430411e-10,0.9282388,-0.7891917,-0.916259,-0.6630675
-0.0001227785,-0.001845476,0.0001122057,0.004119236,1.206901e-13,8.750587e-10,8.920042e-10,9.023258e-10,9.023258e-10,8.627385e-10,8.431663e-10,0.9285715,-0.7823652,-0.9091592,-0.6564982
-0.0001225223,-0.001844545,0.0001122102,0.004119357,1.206902e-13,8.762301e-10,8.933072e-10,9.034694e-10,9.034694e-10,8.637495e-10,8.443943e-10,0.9285953,-0.7755749,-0.9021001,-0.6499609
-0.0001224586,-0.001843918,0.0001123749,0.004123005,1.2076e-13,8.764852e-10,8.936045e-10,9.037058e-10,9.037058e-10,8.639586e-10,8.446717e-10,0.9293207,-0.7688203,-0.8950811,-0.6434551
